銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,154035.0,152047.0,150461.0,153006.0,153274.0,154257.0,152497.0,150525.0,148633.0,147041.0,149373.0,150849.0,148761.0,4.62%,3.0,4.58%,3.0,4.52%,3.0,4.57%,3.0,4.54%,3.0,4.40%,3.0,4.31%,3.0,4.24%,3.0,4.18%,3.0,4.11%,3.0,4.14%,3.0,4.14%,3.0,4.08%,3.0
臺灣土地銀行,12444.0,12194.0,11830.0,11516.0,11253.0,15467.0,16730.0,16469.0,16230.0,16000.0,15754.0,15544.0,15154.0,0.37%,23.0,0.37%,23.0,0.36%,23.0,0.34%,23.0,0.33%,23.0,0.44%,21.0,0.47%,21.0,0.46%,21.0,0.46%,21.0,0.45%,21.0,0.44%,22.0,0.43%,22.0,0.42%,22.0
合作金庫銀行,68035.0,67727.0,67469.0,67399.0,67440.0,71638.0,73461.0,73195.0,72974.0,72648.0,72536.0,72564.0,72066.0,2.04%,7.0,2.04%,7.0,2.03%,7.0,2.01%,7.0,2.00%,7.0,2.04%,7.0,2.07%,7.0,2.06%,8.0,2.05%,8.0,2.03%,8.0,2.01%,8.0,1.99%,8.0,1.98%,8.0
第一商業銀行,52665.0,52819.0,53544.0,53941.0,54767.0,62013.0,62158.0,62487.0,63033.0,63327.0,64187.0,66071.0,64606.0,1.58%,10.0,1.59%,10.0,1.61%,10.0,1.61%,10.0,1.62%,10.0,1.77%,9.0,1.75%,9.0,1.76%,9.0,1.77%,9.0,1.77%,9.0,1.78%,9.0,1.81%,9.0,1.77%,9.0
華南商業銀行,47787.0,47153.0,47529.0,47270.0,47680.0,49769.0,50881.0,50478.0,50279.0,49974.0,50025.0,50883.0,49740.0,1.43%,12.0,1.42%,12.0,1.43%,12.0,1.41%,12.0,1.41%,12.0,1.42%,12.0,1.44%,12.0,1.42%,12.0,1.41%,12.0,1.40%,12.0,1.39%,12.0,1.39%,12.0,1.36%,12.0
彰化商業銀行,27676.0,27183.0,27824.0,27844.0,28079.0,29261.0,29763.0,29936.0,29878.0,29571.0,30056.0,30823.0,29550.0,0.83%,18.0,0.82%,18.0,0.84%,18.0,0.83%,18.0,0.83%,18.0,0.83%,17.0,0.84%,17.0,0.84%,17.0,0.84%,17.0,0.83%,18.0,0.83%,17.0,0.85%,17.0,0.81%,18.0
上海商業儲蓄銀行,1825.0,1867.0,1911.0,1984.0,2051.0,2245.0,2373.0,2382.0,2392.0,2399.0,2423.0,2418.0,2439.0,0.05%,30.0,0.06%,30.0,0.06%,30.0,0.06%,30.0,0.06%,30.0,0.06%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,30.0,0.07%,31.0,0.07%,31.0,0.07%,31.0
台北富邦商業銀行,44173.0,43705.0,43223.0,43227.0,44284.0,46156.0,46205.0,46009.0,45800.0,45613.0,45773.0,47101.0,46839.0,1.32%,13.0,1.32%,13.0,1.30%,13.0,1.29%,13.0,1.31%,13.0,1.32%,13.0,1.30%,13.0,1.30%,13.0,1.29%,13.0,1.27%,13.0,1.27%,13.0,1.29%,13.0,1.28%,13.0
國泰世華商業銀行,96887.0,97800.0,99821.0,102662.0,105329.0,105339.0,107044.0,108449.0,109951.0,112452.0,114695.0,117227.0,119885.0,2.90%,6.0,2.94%,6.0,3.00%,6.0,3.07%,5.0,3.12%,5.0,3.00%,6.0,3.02%,6.0,3.05%,6.0,3.09%,6.0,3.14%,5.0,3.18%,5.0,3.21%,5.0,3.29%,4.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄銀行,5385.0,5323.0,5259.0,5293.0,5496.0,5415.0,5343.0,5271.0,5212.0,5156.0,5164.0,5409.0,5336.0,0.16%,28.0,0.16%,28.0,0.16%,28.0,0.16%,28.0,0.16%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.15%,28.0,0.14%,28.0,0.14%,28.0,0.15%,28.0,0.15%,28.0
兆豐國際商業銀行,6273.0,6187.0,6089.0,6094.0,6151.0,8168.0,8266.0,8334.0,8360.0,8355.0,8404.0,8502.0,8546.0,0.19%,25.0,0.19%,25.0,0.18%,25.0,0.18%,25.0,0.18%,25.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0,0.23%,24.0
花旗(台灣)商業銀行,61100.0,60897.0,60480.0,60530.0,60661.0,60104.0,59789.0,59165.0,59436.0,62497.0,62684.0,63059.0,63137.0,1.83%,9.0,1.83%,9.0,1.82%,9.0,1.81%,9.0,1.80%,9.0,1.71%,10.0,1.69%,10.0,1.67%,10.0,1.67%,10.0,1.75%,10.0,1.74%,10.0,1.73%,10.0,1.73%,10.0
王道商業銀行,1774.0,1801.0,1891.0,1969.0,2044.0,2148.0,2166.0,2192.0,2228.0,2267.0,2295.0,2295.0,2336.0,0.05%,31.0,0.05%,31.0,0.06%,31.0,0.06%,31.0,0.06%,31.0,0.06%,31.0,0.06%,31.0,0.06%,31.0,0.06%,31.0,0.06%,31.0,0.06%,32.0,0.06%,32.0,0.06%,32.0
臺灣中小企業銀行,14880.0,14794.0,14206.0,14035.0,13783.0,14543.0,14441.0,14196.0,14013.0,13896.0,13798.0,13780.0,13396.0,0.45%,21.0,0.45%,22.0,0.43%,22.0,0.42%,22.0,0.41%,22.0,0.41%,23.0,0.41%,23.0,0.40%,23.0,0.39%,23.0,0.39%,23.0,0.38%,23.0,0.38%,23.0,0.37%,23.0
渣打國際商業銀行,29761.0,29568.0,29504.0,29512.0,29814.0,30214.0,30439.0,30433.0,30493.0,30514.0,30640.0,30939.0,31183.0,0.89%,16.0,0.89%,16.0,0.89%,16.0,0.88%,16.0,0.88%,16.0,0.86%,16.0,0.86%,16.0,0.86%,16.0,0.86%,16.0,0.85%,16.0,0.85%,16.0,0.85%,16.0,0.86%,16.0
台中商業銀行,14829.0,14822.0,14923.0,15089.0,15198.0,15457.0,15626.0,15733.0,15757.0,15907.0,16057.0,16251.0,16497.0,0.44%,22.0,0.45%,21.0,0.45%,21.0,0.45%,21.0,0.45%,21.0,0.44%,22.0,0.44%,22.0,0.44%,22.0,0.44%,22.0,0.44%,22.0,0.44%,21.0,0.45%,21.0,0.45%,21.0
京城商業銀行,253.0,243.0,235.0,232.0,225.0,217.0,208.0,202.0,195.0,187.0,178.0,172.0,167.0,0.01%,35.0,0.01%,35.0,0.01%,35.0,0.01%,35.0,0.01%,35.0,0.01%,36.0,0.01%,36.0,0.01%,36.0,0.01%,36.0,0.01%,36.0,0.00%,36.0,0.00%,36.0,0.00%,36.0
匯豐(台灣)商業銀行,35129.0,35362.0,35992.0,36370.0,36921.0,37343.0,37669.0,38009.0,38305.0,38686.0,39159.0,39476.0,40521.0,1.05%,14.0,1.06%,14.0,1.08%,14.0,1.09%,14.0,1.09%,14.0,1.06%,14.0,1.06%,14.0,1.07%,14.0,1.08%,15.0,1.08%,15.0,1.09%,15.0,1.08%,15.0,1.11%,15.0
瑞興商業銀行,1253.0,1239.0,1212.0,1174.0,1160.0,1159.0,1166.0,1236.0,1325.0,1387.0,1448.0,1466.0,1524.0,0.04%,32.0,0.04%,32.0,0.04%,32.0,0.04%,32.0,0.03%,32.0,0.03%,32.0,0.03%,32.0,0.03%,32.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0,0.04%,33.0
