銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,118098.0,117973.0,118201.0,117766.0,116541.0,115746.0,116659.0,117143.0,117576.0,118024.0,118812.0,121185.0,121402.0,0.12%,25.0,0.12%,25.0,0.12%,25.0,0.12%,25.0,0.12%,25.0,0.11%,25.0,0.12%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.11%,25.0,0.12%,25.0,0.11%,25.0
臺灣土地銀行,148261.0,147856.0,149138.0,147804.0,146050.0,145130.0,147828.0,150238.0,149711.0,149821.0,150998.0,152010.0,149368.0,0.15%,24.0,0.15%,24.0,0.15%,24.0,0.15%,24.0,0.14%,24.0,0.14%,24.0,0.15%,24.0,0.15%,24.0,0.15%,24.0,0.15%,24.0,0.15%,24.0,0.14%,24.0,0.14%,24.0
合作金庫銀行,385450.0,384180.0,384762.0,382906.0,378775.0,376424.0,378985.0,383562.0,385081.0,388059.0,393068.0,397692.0,395404.0,0.38%,18.0,0.38%,18.0,0.38%,18.0,0.38%,18.0,0.37%,18.0,0.37%,18.0,0.37%,18.0,0.38%,18.0,0.38%,18.0,0.38%,18.0,0.38%,18.0,0.38%,18.0,0.37%,18.0
第一商業銀行,861934.0,864745.0,876469.0,884665.0,888283.0,889372.0,889229.0,891970.0,897114.0,901984.0,913590.0,920217.0,913028.0,0.86%,12.0,0.86%,12.0,0.87%,12.0,0.88%,12.0,0.88%,12.0,0.88%,12.0,0.88%,12.0,0.87%,12.0,0.88%,12.0,0.88%,12.0,0.88%,12.0,0.88%,12.0,0.86%,12.0
華南商業銀行,789977.0,788707.0,791230.0,789044.0,794196.0,793657.0,795682.0,802283.0,800554.0,802758.0,804513.0,804260.0,804831.0,0.79%,13.0,0.79%,13.0,0.79%,13.0,0.78%,13.0,0.79%,13.0,0.79%,13.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.78%,13.0,0.77%,13.0,0.77%,13.0,0.76%,13.0
彰化商業銀行,254781.0,253712.0,256009.0,258162.0,260453.0,265620.0,267824.0,271912.0,273440.0,274114.0,276849.0,277206.0,274527.0,0.25%,20.0,0.25%,20.0,0.25%,20.0,0.26%,20.0,0.26%,20.0,0.26%,20.0,0.26%,20.0,0.27%,20.0,0.27%,20.0,0.27%,20.0,0.27%,20.0,0.26%,20.0,0.26%,20.0
上海商業儲蓄銀行,182900.0,183005.0,183705.0,183542.0,183126.0,182736.0,183191.0,187251.0,187402.0,191073.0,193409.0,194702.0,196064.0,0.18%,23.0,0.18%,23.0,0.18%,23.0,0.18%,23.0,0.18%,23.0,0.18%,23.0,0.18%,23.0,0.18%,23.0,0.18%,23.0,0.19%,22.0,0.19%,22.0,0.19%,22.0,0.18%,22.0
台北富邦商業銀行,2884044.0,2913295.0,2966488.0,3001913.0,3031911.0,3051037.0,3075874.0,3123047.0,3143201.0,3172048.0,3239827.0,3276910.0,3307283.0,2.88%,7.0,2.91%,7.0,2.95%,7.0,2.97%,7.0,3.00%,7.0,3.02%,7.0,3.03%,7.0,3.05%,7.0,3.07%,7.0,3.08%,7.0,3.11%,7.0,3.12%,7.0,3.12%,7.0
國泰世華商業銀行,5473151.0,5467813.0,5461352.0,5474427.0,5473447.0,5470466.0,5487150.0,5556208.0,5570965.0,5613594.0,5681656.0,5779361.0,5994465.0,5.46%,3.0,5.46%,3.0,5.43%,3.0,5.42%,3.0,5.42%,3.0,5.41%,3.0,5.41%,3.0,5.43%,3.0,5.43%,3.0,5.45%,3.0,5.46%,3.0,5.50%,3.0,5.66%,3.0
高雄銀行,5469.0,5365.0,5302.0,5195.0,5072.0,4959.0,4917.0,4890.0,4813.0,4789.0,4785.0,4800.0,4777.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.01%,32.0,0.00%,32.0,0.00%,32.0,0.00%,33.0,0.00%,33.0,0.00%,33.0,0.00%,33.0,0.00%,33.0,0.00%,33.0
兆豐國際商業銀行,632127.0,631380.0,631221.0,630498.0,628103.0,627848.0,627435.0,633017.0,636437.0,639628.0,645041.0,648361.0,652518.0,0.63%,14.0,0.63%,14.0,0.63%,14.0,0.62%,14.0,0.62%,14.0,0.62%,14.0,0.62%,15.0,0.62%,14.0,0.62%,14.0,0.62%,14.0,0.62%,14.0,0.62%,14.0,0.62%,14.0
花旗(台灣)商業銀行,2110570.0,2098593.0,2091966.0,2081169.0,2070361.0,2066963.0,2069812.0,2082899.0,2074423.0,2077065.0,2090823.0,2088108.0,2086700.0,2.11%,8.0,2.09%,8.0,2.08%,8.0,2.06%,8.0,2.05%,8.0,2.05%,8.0,2.04%,8.0,2.04%,8.0,2.02%,8.0,2.02%,8.0,2.01%,8.0,1.99%,8.0,1.97%,8.0
臺灣中小企業銀行,102847.0,103331.0,99836.0,100947.0,100634.0,99692.0,98811.0,98158.0,97189.0,97066.0,97190.0,97752.0,99336.0,0.10%,26.0,0.10%,26.0,0.10%,26.0,0.10%,26.0,0.10%,26.0,0.10%,26.0,0.10%,26.0,0.10%,26.0,0.09%,26.0,0.09%,26.0,0.09%,26.0,0.09%,26.0,0.09%,26.0
渣打國際商業銀行,251685.0,246653.0,242638.0,238404.0,233620.0,228468.0,223503.0,219839.0,214739.0,212049.0,210196.0,202852.0,200828.0,0.25%,21.0,0.25%,21.0,0.24%,21.0,0.24%,21.0,0.23%,21.0,0.23%,21.0,0.22%,21.0,0.21%,21.0,0.21%,21.0,0.21%,21.0,0.20%,21.0,0.19%,21.0,0.19%,21.0
台中商業銀行,79038.0,79208.0,79459.0,79424.0,78910.0,78610.0,78615.0,78789.0,78397.0,78196.0,78844.0,79408.0,79646.0,0.08%,28.0,0.08%,28.0,0.08%,28.0,0.08%,27.0,0.08%,27.0,0.08%,27.0,0.08%,27.0,0.08%,27.0,0.08%,28.0,0.08%,28.0,0.08%,27.0,0.08%,27.0,0.08%,27.0
京城商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
匯豐(台灣)商業銀行,429654.0,430086.0,430540.0,431145.0,430369.0,430103.0,430867.0,432567.0,434465.0,436038.0,440197.0,444199.0,445678.0,0.43%,17.0,0.43%,17.0,0.43%,17.0,0.43%,17.0,0.43%,17.0,0.43%,17.0,0.42%,17.0,0.42%,17.0,0.42%,17.0,0.42%,17.0,0.42%,17.0,0.42%,17.0,0.42%,17.0
瑞興商業銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
