銀行別,2022年1月,2022年2月,2022年3月,2022年4月,2022年5月,2022年6月,2022年7月,2022年8月,2022年9月,2022年10月,2022年11月,2022年12月,2023年1月,2022年1月市占率,2022年1月排名,2022年2月市占率,2022年2月排名,2022年3月市占率,2022年3月排名,2022年4月市占率,2022年4月排名,2022年5月市占率,2022年5月排名,2022年6月市占率,2022年6月排名,2022年7月市占率,2022年7月排名,2022年8月市占率,2022年8月排名,2022年9月市占率,2022年9月排名,2022年10月市占率,2022年10月排名,2022年11月市占率,2022年11月排名,2022年12月市占率,2022年12月排名,2023年1月市占率,2023年1月排名
臺灣銀行,1507634.0,1521819.0,1549624.0,1524192.0,1540893.0,1560778.0,1566765.0,1574582.0,1572725.0,1592183.0,1581873.0,1610283.0,1614666.0,2.43%,8.0,2.42%,8.0,2.48%,6.0,2.45%,7.0,2.48%,6.0,2.52%,6.0,2.49%,7.0,2.48%,7.0,2.53%,6.0,2.56%,5.0,2.52%,6.0,2.55%,6.0,2.55%,6.0
臺灣土地銀行,1049656.0,1045626.0,1038932.0,1033200.0,1023565.0,1040969.0,1020671.0,1011343.0,1001206.0,1000550.0,1001126.0,1025611.0,996575.0,1.69%,11.0,1.66%,11.0,1.66%,11.0,1.66%,11.0,1.64%,11.0,1.68%,11.0,1.62%,11.0,1.60%,11.0,1.61%,11.0,1.61%,11.0,1.59%,11.0,1.62%,11.0,1.57%,11.0
合作金庫銀行,1754239.0,1761187.0,1758099.0,1772717.0,1745026.0,1725139.0,1772846.0,1772574.0,1739925.0,1755361.0,1766891.0,1789121.0,1779620.0,2.83%,3.0,2.80%,3.0,2.81%,3.0,2.85%,3.0,2.80%,3.0,2.79%,3.0,2.82%,3.0,2.80%,3.0,2.80%,3.0,2.82%,3.0,2.81%,3.0,2.83%,3.0,2.81%,3.0
第一商業銀行,1516713.0,1552503.0,1536285.0,1528780.0,1533001.0,1533859.0,1529166.0,1537880.0,1503816.0,1527373.0,1540232.0,1574707.0,1560635.0,2.44%,7.0,2.47%,7.0,2.46%,7.0,2.46%,6.0,2.46%,7.0,2.48%,7.0,2.43%,8.0,2.43%,8.0,2.42%,8.0,2.46%,8.0,2.45%,8.0,2.49%,7.0,2.46%,8.0
華南商業銀行,1624645.0,1651229.0,1629920.0,1612039.0,1603559.0,1586323.0,1615210.0,1594451.0,1552884.0,1551044.0,1625976.0,1660696.0,1608292.0,2.62%,5.0,2.63%,5.0,2.61%,5.0,2.59%,5.0,2.58%,5.0,2.56%,5.0,2.57%,5.0,2.52%,6.0,2.50%,7.0,2.50%,7.0,2.59%,5.0,2.63%,5.0,2.54%,7.0
彰化商業銀行,1116370.0,1142910.0,1108336.0,1112991.0,1124129.0,1107559.0,1123994.0,1132829.0,1117270.0,1123141.0,1122090.0,1133220.0,1127871.0,1.80%,9.0,1.82%,9.0,1.77%,9.0,1.79%,9.0,1.81%,9.0,1.79%,9.0,1.79%,9.0,1.79%,9.0,1.80%,9.0,1.81%,9.0,1.79%,9.0,1.79%,9.0,1.78%,9.0
上海商業儲蓄銀行,372267.0,375545.0,376350.0,374707.0,374401.0,371786.0,380653.0,384632.0,375931.0,374339.0,377239.0,379551.0,373402.0,0.60%,19.0,0.60%,19.0,0.60%,19.0,0.60%,18.0,0.60%,19.0,0.60%,19.0,0.60%,19.0,0.61%,18.0,0.60%,18.0,0.60%,18.0,0.60%,18.0,0.60%,18.0,0.59%,19.0
台北富邦商業銀行,955949.0,967978.0,971718.0,976778.0,975600.0,953574.0,972494.0,1002623.0,966947.0,963737.0,961835.0,969137.0,976293.0,1.54%,12.0,1.54%,12.0,1.55%,12.0,1.57%,12.0,1.57%,12.0,1.54%,12.0,1.54%,12.0,1.58%,12.0,1.56%,12.0,1.55%,12.0,1.53%,12.0,1.53%,12.0,1.54%,12.0
國泰世華商業銀行,1670150.0,1688981.0,1672637.0,1663071.0,1675899.0,1681128.0,1701316.0,1750483.0,1722023.0,1708145.0,1724815.0,1727334.0,1746270.0,2.69%,4.0,2.69%,4.0,2.68%,4.0,2.68%,4.0,2.69%,4.0,2.72%,4.0,2.70%,4.0,2.76%,4.0,2.77%,4.0,2.75%,4.0,2.75%,4.0,2.73%,4.0,2.76%,4.0
中國輸出入銀行,,,,,,,,,,,,,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,,nan%,
高雄銀行,107321.0,107965.0,106142.0,104554.0,104777.0,105613.0,106661.0,106896.0,106584.0,107044.0,108621.0,110757.0,109983.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.17%,31.0,0.18%,31.0,0.17%,30.0
兆豐國際商業銀行,906195.0,899477.0,911726.0,902124.0,899781.0,904592.0,937646.0,929827.0,933676.0,918634.0,918213.0,934813.0,925229.0,1.46%,13.0,1.43%,13.0,1.46%,13.0,1.45%,13.0,1.45%,13.0,1.46%,13.0,1.49%,13.0,1.47%,13.0,1.50%,13.0,1.48%,13.0,1.46%,13.0,1.48%,13.0,1.46%,13.0
花旗(台灣)商業銀行,230304.0,238492.0,268170.0,264609.0,298852.0,264112.0,266096.0,267557.0,246454.0,258975.0,270851.0,242286.0,254967.0,0.37%,23.0,0.38%,23.0,0.43%,22.0,0.43%,22.0,0.48%,22.0,0.43%,22.0,0.42%,23.0,0.42%,22.0,0.40%,23.0,0.42%,23.0,0.43%,22.0,0.38%,22.0,0.40%,23.0
王道商業銀行,36126.0,33615.0,35422.0,34740.0,34579.0,34868.0,35638.0,34116.0,32229.0,30083.0,28525.0,27534.0,31944.0,0.06%,36.0,0.05%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.06%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.05%,36.0,0.04%,37.0,0.05%,36.0
臺灣中小企業銀行,783115.0,796583.0,795248.0,790335.0,787261.0,795068.0,792207.0,804529.0,798487.0,794758.0,815072.0,829584.0,821175.0,1.26%,15.0,1.27%,15.0,1.27%,15.0,1.27%,15.0,1.27%,15.0,1.28%,15.0,1.26%,15.0,1.27%,15.0,1.28%,15.0,1.28%,15.0,1.30%,15.0,1.31%,15.0,1.30%,15.0
渣打國際商業銀行,255123.0,261321.0,256428.0,261317.0,254838.0,251767.0,271152.0,263754.0,258742.0,263745.0,253693.0,237878.0,276769.0,0.41%,22.0,0.42%,22.0,0.41%,23.0,0.42%,23.0,0.41%,23.0,0.41%,23.0,0.43%,22.0,0.42%,23.0,0.42%,22.0,0.42%,22.0,0.40%,23.0,0.38%,23.0,0.44%,22.0
台中商業銀行,327603.0,329988.0,333005.0,330534.0,330998.0,327203.0,328623.0,329054.0,327304.0,327816.0,334476.0,338078.0,333932.0,0.53%,20.0,0.53%,20.0,0.53%,20.0,0.53%,20.0,0.53%,20.0,0.53%,20.0,0.52%,20.0,0.52%,20.0,0.53%,20.0,0.53%,20.0,0.53%,20.0,0.54%,20.0,0.53%,20.0
京城商業銀行,136306.0,138799.0,138566.0,137710.0,137642.0,136670.0,137178.0,140086.0,140167.0,139164.0,141453.0,141525.0,141848.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.22%,29.0,0.23%,29.0,0.22%,29.0,0.23%,28.0,0.22%,27.0,0.22%,28.0
匯豐(台灣)商業銀行,163943.0,172282.0,184979.0,194249.0,189167.0,181804.0,192868.0,184281.0,183774.0,182645.0,194655.0,178038.0,228729.0,0.26%,25.0,0.27%,25.0,0.30%,25.0,0.31%,24.0,0.30%,24.0,0.29%,25.0,0.31%,24.0,0.29%,25.0,0.30%,24.0,0.29%,24.0,0.31%,24.0,0.28%,25.0,0.36%,24.0
