銀行別,2021年1月,2021年2月,2021年3月,2021年4月,2021年5月,2021年6月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2022年1月,2021年1月市占率,2021年1月排名,2021年2月市占率,2021年2月排名,2021年3月市占率,2021年3月排名,2021年4月市占率,2021年4月排名,2021年5月市占率,2021年5月排名,2021年6月市占率,2021年6月排名,2021年7月市占率,2021年7月排名,2021年8月市占率,2021年8月排名,2021年9月市占率,2021年9月排名,2021年10月市占率,2021年10月排名,2021年11月市占率,2021年11月排名,2021年12月市占率,2021年12月排名,2022年1月市占率,2022年1月排名
臺灣銀行,2840604.0,2862852.0,2859360.0,2778944.0,2800026.0,2954583.0,2752567.0,2700828.0,2710451.0,2756063.0,2873283.0,2982666.0,3078421.0,3.11%,3.0,3.11%,3.0,3.09%,3.0,3.00%,3.0,2.99%,3.0,3.12%,3.0,2.90%,3.0,2.83%,3.0,2.83%,3.0,2.86%,3.0,2.96%,3.0,3.06%,3.0,3.11%,3.0
臺灣土地銀行,2113863.0,2112134.0,2126887.0,2132116.0,2143287.0,2176401.0,2184456.0,2205128.0,2205189.0,2215798.0,2218343.0,2248862.0,2264646.0,2.31%,5.0,2.30%,5.0,2.30%,5.0,2.30%,6.0,2.29%,6.0,2.29%,5.0,2.30%,6.0,2.31%,6.0,2.30%,5.0,2.30%,6.0,2.29%,6.0,2.31%,5.0,2.29%,6.0
合作金庫銀行,2277857.0,2307658.0,2354701.0,2378625.0,2389383.0,2426218.0,2464192.0,2467796.0,2481011.0,2472439.0,2466299.0,2456820.0,2453937.0,2.49%,4.0,2.51%,4.0,2.54%,4.0,2.57%,4.0,2.55%,4.0,2.56%,4.0,2.60%,4.0,2.58%,4.0,2.59%,4.0,2.57%,4.0,2.54%,4.0,2.52%,4.0,2.48%,4.0
第一商業銀行,1914554.0,1922590.0,1947887.0,1928444.0,1957329.0,2006460.0,1976701.0,2009418.0,2028583.0,2011089.0,2011718.0,2041112.0,2075924.0,2.09%,7.0,2.09%,7.0,2.10%,8.0,2.08%,8.0,2.09%,8.0,2.12%,8.0,2.08%,8.0,2.10%,7.0,2.12%,7.0,2.09%,8.0,2.07%,8.0,2.10%,7.0,2.10%,7.0
華南商業銀行,1800766.0,1812728.0,1844598.0,1845071.0,1882694.0,1895956.0,1917932.0,1938872.0,1960888.0,1956912.0,1979797.0,2007338.0,2016498.0,1.97%,9.0,1.97%,9.0,1.99%,9.0,1.99%,9.0,2.01%,9.0,2.00%,9.0,2.02%,9.0,2.03%,9.0,2.05%,9.0,2.03%,9.0,2.04%,9.0,2.06%,9.0,2.04%,9.0
彰化商業銀行,1477386.0,1490055.0,1497908.0,1491524.0,1517514.0,1522980.0,1529743.0,1565316.0,1576411.0,1562966.0,1563273.0,1553895.0,1566253.0,1.62%,12.0,1.62%,12.0,1.62%,12.0,1.61%,12.0,1.62%,12.0,1.61%,13.0,1.61%,13.0,1.64%,12.0,1.65%,13.0,1.62%,13.0,1.61%,13.0,1.60%,13.0,1.58%,13.0
上海商業儲蓄銀行,761417.0,756731.0,757279.0,749306.0,751559.0,752720.0,748580.0,744429.0,746038.0,751157.0,760581.0,768413.0,774103.0,0.83%,18.0,0.82%,18.0,0.82%,18.0,0.81%,18.0,0.80%,18.0,0.79%,18.0,0.79%,18.0,0.78%,18.0,0.78%,18.0,0.78%,18.0,0.78%,18.0,0.79%,18.0,0.78%,18.0
台北富邦商業銀行,1432596.0,1449573.0,1469839.0,1471203.0,1499373.0,1531937.0,1550485.0,1555105.0,1606077.0,1604558.0,1618903.0,1605945.0,1668380.0,1.57%,13.0,1.58%,13.0,1.59%,13.0,1.59%,13.0,1.60%,13.0,1.62%,12.0,1.63%,12.0,1.63%,13.0,1.68%,12.0,1.67%,12.0,1.67%,12.0,1.65%,12.0,1.69%,12.0
國泰世華商業銀行,1661312.0,1675870.0,1697808.0,1700470.0,1718265.0,1738190.0,1752720.0,1750779.0,1752774.0,1759130.0,1745723.0,1760386.0,1788827.0,1.82%,10.0,1.82%,10.0,1.83%,10.0,1.84%,10.0,1.84%,10.0,1.83%,10.0,1.85%,10.0,1.83%,10.0,1.83%,10.0,1.83%,10.0,1.80%,10.0,1.81%,10.0,1.81%,10.0
中國輸出入銀行,142325.0,144470.0,142902.0,140342.0,139329.0,135811.0,140009.0,142947.0,141555.0,142413.0,143201.0,142076.0,144247.0,0.16%,35.0,0.16%,35.0,0.15%,35.0,0.15%,35.0,0.15%,35.0,0.14%,35.0,0.15%,35.0,0.15%,35.0,0.15%,35.0,0.15%,35.0,0.15%,35.0,0.15%,35.0,0.15%,35.0
高雄銀行,176792.0,178285.0,177149.0,178535.0,177559.0,177583.0,178550.0,180577.0,180984.0,180711.0,180106.0,183852.0,165953.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.19%,32.0,0.17%,33.0
兆豐國際商業銀行,1914544.0,1921536.0,1984122.0,1949781.0,1972770.0,2009783.0,1987141.0,2006686.0,2027333.0,2027054.0,2031215.0,2040512.0,2032236.0,2.09%,8.0,2.09%,8.0,2.14%,7.0,2.10%,7.0,2.11%,7.0,2.12%,7.0,2.09%,7.0,2.10%,8.0,2.12%,8.0,2.10%,7.0,2.09%,7.0,2.10%,8.0,2.05%,8.0
花旗(台灣)商業銀行,303223.0,308858.0,304532.0,300263.0,300095.0,305662.0,306514.0,305155.0,303159.0,303753.0,300079.0,282801.0,285699.0,0.33%,25.0,0.34%,25.0,0.33%,25.0,0.32%,25.0,0.32%,25.0,0.32%,25.0,0.32%,25.0,0.32%,25.0,0.32%,25.0,0.32%,25.0,0.31%,25.0,0.29%,26.0,0.29%,26.0
王道商業銀行,162319.0,158835.0,158994.0,158422.0,157625.0,157865.0,157287.0,155539.0,155840.0,156737.0,156169.0,158396.0,159212.0,0.18%,34.0,0.17%,34.0,0.17%,34.0,0.17%,34.0,0.17%,34.0,0.17%,34.0,0.17%,34.0,0.16%,34.0,0.16%,34.0,0.16%,34.0,0.16%,34.0,0.16%,34.0,0.16%,34.0
臺灣中小企業銀行,1220449.0,1221548.0,1226269.0,1221625.0,1224805.0,1232041.0,1245797.0,1261320.0,1269675.0,1267777.0,1276980.0,1316362.0,1301909.0,1.33%,15.0,1.33%,15.0,1.32%,15.0,1.32%,15.0,1.31%,15.0,1.30%,15.0,1.31%,15.0,1.32%,15.0,1.33%,15.0,1.32%,15.0,1.32%,15.0,1.35%,15.0,1.32%,15.0
渣打國際商業銀行,288427.0,283543.0,286179.0,283434.0,285727.0,288324.0,293605.0,289867.0,288660.0,280001.0,291411.0,302403.0,300176.0,0.32%,26.0,0.31%,26.0,0.31%,26.0,0.31%,26.0,0.31%,26.0,0.30%,26.0,0.31%,26.0,0.30%,26.0,0.30%,26.0,0.29%,26.0,0.30%,26.0,0.31%,25.0,0.30%,25.0
台中商業銀行,465026.0,465269.0,471825.0,472255.0,472237.0,471161.0,473794.0,470962.0,470509.0,470002.0,475223.0,484517.0,488726.0,0.51%,20.0,0.51%,20.0,0.51%,20.0,0.51%,20.0,0.50%,20.0,0.50%,20.0,0.50%,20.0,0.49%,20.0,0.49%,20.0,0.49%,20.0,0.49%,21.0,0.50%,21.0,0.49%,21.0
京城商業銀行,186704.0,187720.0,191026.0,194720.0,194787.0,200538.0,200440.0,201192.0,203141.0,204435.0,207852.0,209495.0,212450.0,0.20%,30.0,0.20%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.21%,30.0,0.22%,30.0,0.21%,30.0
匯豐(台灣)商業銀行,257573.0,254169.0,249244.0,248459.0,252182.0,254502.0,255632.0,263299.0,264635.0,261520.0,266408.0,267183.0,279775.0,0.28%,27.0,0.28%,28.0,0.27%,28.0,0.27%,28.0,0.27%,28.0,0.27%,28.0,0.27%,28.0,0.28%,28.0,0.28%,28.0,0.27%,28.0,0.27%,28.0,0.27%,28.0,0.28%,27.0
瑞興商業銀行,51512.0,51509.0,52289.0,52065.0,51926.0,51580.0,52245.0,53184.0,53068.0,53577.0,54119.0,53722.0,54638.0,0.06%,38.0,0.06%,38.0,0.06%,38.0,0.06%,38.0,0.06%,38.0,0.05%,38.0,0.06%,38.0,0.06%,38.0,0.06%,38.0,0.06%,38.0,0.06%,38.0,0.06%,38.0,0.06%,38.0
華泰商業銀行,89156.0,89702.0,93657.0,95841.0,98792.0,101184.0,103923.0,109498.0,109337.0,112172.0,112615.0,112998.0,117856.0,0.10%,37.0,0.10%,37.0,0.10%,37.0,0.10%,37.0,0.11%,37.0,0.11%,37.0,0.11%,37.0,0.11%,37.0,0.11%,37.0,0.12%,37.0,0.12%,37.0,0.12%,37.0,0.12%,37.0
臺灣新光商業銀行,648156.0,655523.0,664268.0,671170.0,673922.0,687729.0,687109.0,697815.0,698786.0,697639.0,709393.0,718660.0,721177.0,0.71%,19.0,0.71%,19.0,0.72%,19.0,0.72%,19.0,0.72%,19.0,0.73%,19.0,0.72%,19.0,0.73%,19.0,0.73%,19.0,0.72%,19.0,0.73%,19.0,0.74%,19.0,0.73%,19.0
